Rank,Matrix,Hydrophob.,Polarity,Volume,Area Lost,pI,In-Out,Aroma.,MinCodD,Composite
1,MIYATA_EVO,0.849***,0.791***,0.286***,0.764***,0.419***,0.773***,0.284***,0.412***,4.578
2,MIYATA,0.738***,0.727***,0.398***,0.554***,0.130,0.471***,0.277***,0.270***,3.566
3,FENG,0.617***,0.628***,0.216**,0.524***,0.163*,0.416***,0.253***,0.707***,3.525
4,BENNER74,0.697***,0.666***,0.302***,0.621***,0.006,0.433***,0.289***,0.427***,3.441
5,BENNER22,0.674***,0.638***,0.283***,0.550***,0.031,0.397***,0.321***,0.544***,3.439
6,GONNET1992,0.705***,0.670***,0.295***,0.629***,-0.001,0.440***,0.276***,0.388***,3.402
7,VTML250,0.677***,0.638***,0.311***,0.595***,0.021,0.438***,0.302***,0.370***,3.351
8,JONES,0.626***,0.600***,0.245***,0.503***,0.043,0.389***,0.303***,0.601***,3.309
9,BLOSUM62,0.678***,0.660***,0.247***,0.592***,0.090,0.425***,0.240***,0.339***,3.271
10,VTML160,0.638***,0.603***,0.306***,0.560***,0.030,0.412***,0.318***,0.392***,3.257
